directory	commit	commits	files	disk_bytes	artifact_extensions	firmware_hits
BD-JB5	4c28ff2d36cf9cade6763f2a8b801c2219e951f5	39	66	1539006	.bin,.elf,	1
CSSFontFace-Exploit	221baa6e7349b96a6fd299808a25a4178e47741c	38	34	405820	.bin,	5
Host	c6f66c7b0ba363e618da95c6f7a013c901a3c316	101	7	407302		3
PSFree	368d82aa40d3017c220757ce315761adb5f06678	122	37	3018575	.bin,.elf,	4
SLOPOS-offsets	42273e2180cae9aa0c1a67332994d75e1baa713c	4	74	179100		5
Test	24dd1e17dcca73098a025b583c2d73d8c7f5e79e	577	59	3006749		16
WebKitty	074463f5e2dfea65b692a33110a5fd31238053f3	173	189	18330187	.bin,.elf,	21
ps4-kernel-uaf-research-fw1352	aa5802cf6d3f0111351dad2bb444b08ea7ea2595	1	9	90722		4
ps4-linux-loader	9acef9fbf79097a2bb39d6c9c17228198bc445cc	70	2123	22901722		2
ps4jb	ea96fffafd861026c5fca8cc57b22ad3acaac3f3	35	16	1809470		1
