clone	slug	release_tag	asset_name	asset_size	asset_url
Al-Azif__ps4-payload-guest	Al-Azif/ps4-payload-guest	v0.98	IV0000-AZIF00003_00-PAYLOADGUEST0000.pkg\t34865152\thttps://github.com/Al-Azif/ps4-payload-guest/releases/download/v0.98/IV0000-AZIF00003_00-PAYLOADGUEST0000.pkg		
Al-Azif__ps4-payload-guest	Al-Azif/ps4-payload-guest	v0.97	IV0000-AZIF00003_00-PAYLOADGUEST0000.pkg\t34930688\thttps://github.com/Al-Azif/ps4-payload-guest/releases/download/v0.97/IV0000-AZIF00003_00-PAYLOADGUEST0000.pkg		
Al-Azif__ps4-payload-guest	Al-Azif/ps4-payload-guest	v0.96	IV0000-AZIF00003_00-PAYLOADGUEST0000.pkg\t34799616\thttps://github.com/Al-Azif/ps4-payload-guest/releases/download/v0.96/IV0000-AZIF00003_00-PAYLOADGUEST0000.pkg		
Backporter__Skyrim-Module-Loader	Backporter/Skyrim-Module-Loader	3.0.1	Skyrim-Module-Loader.exe\t87552\thttps://github.com/Backporter/Skyrim-Module-Loader/releases/download/3.0.1/Skyrim-Module-Loader.exe	Skyrim-Module-Loader.zip\t39708\thttps://github.com/Backporter/Skyrim-Module-Loader/releases/download/3.0.1/Skyrim-Module-Loader.zip	
Backporter__Skyrim-Module-Loader	Backporter/Skyrim-Module-Loader	3.00	Skyrim-Module-Loader.exe\t87040\thttps://github.com/Backporter/Skyrim-Module-Loader/releases/download/3.00/Skyrim-Module-Loader.exe		
Backporter__Skyrim-Module-Loader	Backporter/Skyrim-Module-Loader	2.00	Skyrim-Module-Loader.7z\t30456\thttps://github.com/Backporter/Skyrim-Module-Loader/releases/download/2.00/Skyrim-Module-Loader.7z	Skyrim-Module-Loader.exe\t87040\thttps://github.com/Backporter/Skyrim-Module-Loader/releases/download/2.00/Skyrim-Module-Loader.exe	Skyrim-Module-Loader.zip\t39450\thttps://github.com/Backporter/Skyrim-Module-Loader/releases/download/2.00/Skyrim-Module-Loader.zip
Backporter__Skyrim-Module-Loader	Backporter/Skyrim-Module-Loader	1.00	Release.7z\t276458\thttps://github.com/Backporter/Skyrim-Module-Loader/releases/download/1.00/Release.7z	Release.zip\t351596\thttps://github.com/Backporter/Skyrim-Module-Loader/releases/download/1.00/Release.zip	
Creeeeger__PS4-dec	Creeeeger/PS4-dec	v1.0	artifact.zip\t8235\thttps://github.com/Creeeeger/PS4-dec/releases/download/v1.0/artifact.zip		
Feyzee61__ps4jb	Feyzee61/ps4jb	v1.04b	ps4jb_v1.04b.7z\t303632\thttps://github.com/Feyzee61/ps4jb/releases/download/v1.04b/ps4jb_v1.04b.7z		
Feyzee61__ps4jb	Feyzee61/ps4jb	v1.03b	ps4jb_v1.03b.7z\t303501\thttps://github.com/Feyzee61/ps4jb/releases/download/v1.03b/ps4jb_v1.03b.7z		
